pmid	doi://10.1101/2020.06.24.162156										
tree	https://raw.githubusercontent.com/globalmicrobialidentifier-WG3/datasets/master/datasets/trees/sars-cov-2-coronahit-routine.dnd										
Outbreak	Coronahit routine										
source	Nabil-Fareed Alikhan										
Organism	SARS-CoV-2										
dataType	resequencing consistency check										
											
SRArun_acc	biosample_acc	dataSetName	genBankAssembly	nucleotide	outbreak	sha256sumAssembly	sha256sumRead1	sha256sumRead2	sha256sumnucleotide	strain	suggestedReference
ERR4969078	ERS5446089	Coronahit routine	-	LR963176	NORW-EC35C	-	ba78406e5c32abf63b9b4b4b8254dad6420e683708bb0e4f57bf2b05b2b12d98	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0ac934e6b808a8358338be13e27b3b2302780eefc017b5af596a3f9a01e6b02b	NORW-EC35C_ARTIC_LoCost	FALSE
ERR4970098	ERS5446089	Coronahit routine	-	LR963176	NORW-EC35C	-	f767d79ef95e83bd0cff8adf0a86a2494a0981feb27f89956ebfbb3d9dc58397	926b506c9d2464448b6fcaa8aa50c3a913dea2057f9a74c1d792a4562e8bea7d	0ac934e6b808a8358338be13e27b3b2302780eefc017b5af596a3f9a01e6b02b	NORW-EC35C_CoronaHiT-Illumina	FALSE
ERR4968967	ERS5446089	Coronahit routine	-	LR963176	NORW-EC35C	-	33972c36ace9109bf53d80561d0097f1a21b466e1ecd1273b83504509ee63b95	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0ac934e6b808a8358338be13e27b3b2302780eefc017b5af596a3f9a01e6b02b	NORW-EC35C_CoronaHiT-ONT	FALSE
ERR4969130	ERS5446068	Coronahit routine	-	LR963213	NORW-EC389	-	6ad28a4f3aef2ca82ba1f64f3d7016d659f28b411a84ded5f9119231206d7411	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e65fd9cfaa06c9fd7b5411032ac6ab1960dcba79c88ad4d440e0e6785be4bf3d	NORW-EC389_ARTIC_LoCost	FALSE
ERR4970080	ERS5446068	Coronahit routine	-	LR963213	NORW-EC389	-	129d0ca092899b99c309ac32d5f0b4229a2c1fdec10af382aba4c7799c0fca96	22646d78bebf71e8590ca2d75405bab5a3fd2f7b20dccfddbac5eca6734e4746	e65fd9cfaa06c9fd7b5411032ac6ab1960dcba79c88ad4d440e0e6785be4bf3d	NORW-EC389_CoronaHiT-Illumina	FALSE
ERR4969014	ERS5446068	Coronahit routine	-	LR963213	NORW-EC389	-	5d5e1c7fa454c067d947aec5c914cff76c59abb2fedb2b39e9354cfd54817552	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e65fd9cfaa06c9fd7b5411032ac6ab1960dcba79c88ad4d440e0e6785be4bf3d	NORW-EC389_CoronaHiT-ONT	FALSE
ERR4969108	ERS5446065	Coronahit routine	-	LR963193	NORW-EC3E3	-	1652cfbc56d03328af63f4fc745e96d35d60bb64421edcbca755b16691fa33b3	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	19544428f258f8408a7b2af7a5d4c874c728d94f4db436c9a7dc02174682021d	NORW-EC3E3_ARTIC_LoCost	FALSE
ERR4970089	ERS5446065	Coronahit routine	-	LR963193	NORW-EC3E3	-	4c445eca7b76d6308ecc700c5d77a58ce47926638765279d4da5fbc22c186969	74c83c3e0453899ff2e0d5e29dd55f99183c1fd240ae6d81cc277c901d9becc4	19544428f258f8408a7b2af7a5d4c874c728d94f4db436c9a7dc02174682021d	NORW-EC3E3_CoronaHiT-Illumina	FALSE
ERR4968993	ERS5446065	Coronahit routine	-	LR963193	NORW-EC3E3	-	01ba8aad71e319b4775aa063f6df8c893c92cd991f2a692165630d17ae7b62f0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	19544428f258f8408a7b2af7a5d4c874c728d94f4db436c9a7dc02174682021d	NORW-EC3E3_CoronaHiT-ONT	FALSE
ERR4969113	ERS5446066	Coronahit routine	-	LR963236	NORW-EC40E	-	6381015b76a5a1332025155e1fd4cd1c15d405002b7515e6099efc8bcddfc188	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	9f936cbde9917ec09819baf570abb58332df3f82775ce52bb0232f2788439f9d	NORW-EC40E_ARTIC_LoCost	FALSE
